date,final,seasonal,seasonal.adjustment,trend,irregular,adjustment.factor
1994-12-01,76380.2399818405,1.03538337340997,76380.2399818405,76418.1978619128,0.999503287421919,1.01556371148405
1995-01-01,76807.297146844,1.17681941740946,76807.297146844,76851.4177111834,0.999425897847385,1.18120287225506
1995-02-01,77611.8327934236,0.980942445645732,77611.8327934236,77268.4489780502,1.00444403660116,0.972261539047097
1995-03-01,78080.4694222344,1.08751761014137,78080.4694222344,77633.1686676124,1.00576172224191,1.1115968006115
1995-04-01,77270.2373119668,0.958605228570839,77270.2373119668,77970.720402141,0.991016075181026,0.913042362160233
1995-05-01,78257.1980560848,0.971790338982885,78257.1980560848,78350.7350510289,0.998806175910369,1.01388756524526
1995-06-01,78754.4810389765,0.990758574771246,78754.4810389765,78769.1987618084,0.999813153833437,0.997009934725365
1995-07-01,79003.4302288487,0.976155757486803,79003.4302288487,79200.7973645635,0.997508015799307,0.960186156224642
1995-08-01,80244.9135875119,0.974604322580112,80244.9135875119,79621.3176396813,1.00783202245726,0.975638161970479
1995-09-01,80223.1833377979,0.919060804033505,80223.1833377979,79984.6626491142,1.0029820803237,0.909749488407716
1995-10-01,80743.0379685019,0.983924836198271,80743.0379685019,80281.0823453619,1.00575422764173,0.98758979109886
1995-11-01,79876.7320829,0.935520521019946,79876.7320829,80561.743824834,0.991497059157217,0.941588345426329
1995-12-01,79934.4180960014,1.02568117195468,79934.4180960014,80933.2066536387,0.987659100646887,0.9921258187525
1996-01-01,82005.6522986323,1.20341650343421,82005.6522986323,81407.127351114,1.00735224257376,1.25554760085382
1996-02-01,81932.3060461232,0.986791150071122,81932.3060461232,81884.9586098561,1.00057821896806,1.00376767076107
1996-03-01,81960.3465320224,1.04998803925261,81960.3465320224,82360.8153816915,0.995137628885614,1.01563748229733
1996-04-01,83828.2544877018,0.994251370242995,83828.2544877018,82835.3827456525,1.01198608262725,1.0212547132609
1996-05-01,83423.4475302518,0.963720637633126,83423.4475302518,83245.1519725071,1.00214181310887,0.985058786622312
1996-06-01,83122.8467173325,0.976469118873009,83122.8467173325,83631.2425868138,0.993920981516525,0.930057175049562
1996-07-01,84059.986797706,0.986928348389812,84059.986797706,84070.3183230531,0.999877108525895,1.02968134182912
1996-08-01,84355.8565017829,0.965409109583082,84355.8565017829,84563.5594905707,0.9975438239587,0.946928918898616
1996-09-01,84492.0941028648,0.911613220899845,84492.0941028648,85127.7083069391,0.992533404026543,0.919967729825322
1996-10-01,86000.6369684144,0.979976451781675,86000.6369684144,85771.595187073,1.00267036867907,0.981015989811633
1996-11-01,86449.1126578939,0.949396959969012,86449.1126578939,86448.1844894796,1.00001073670222,0.939778298494559
1996-12-01,86420.7560819084,1.035522788249,86420.7560819084,87166.7334707309,0.99144194856088,1.03937993686223
1997-01-01,89013.2941671738,1.18931670816717,89013.2941671738,87917.9064363879,1.01245921081593,1.21564987581265
1997-02-01,88848.9279151723,0.989681730298853,88848.9279151723,88609.4591056017,1.00270251970825,0.980923484897978
1997-03-01,88952.8435014196,1.05893186641837,88952.8435014196,89254.1373434609,0.996624315118504,1.04160807404118
1997-04-01,89549.7347080575,0.981404744132253,89549.7347080575,89936.5036752592,0.995699532988315,0.991471390612744
1997-05-01,90551.5641960739,0.964430765128721,90551.5641960739,90675.7078806648,0.998630904709846,0.945969302247724
1997-06-01,91610.2854190438,0.984176817624679,91610.2854190438,91438.4359257167,1.00187940105916,0.993196337985493
1997-07-01,92413.83841785,0.981603776294579,92413.83841785,92181.6417341406,1.0025189037572,0.982645040555525
1997-08-01,92680.6272265178,0.953166421561426,92680.6272265178,92901.8352577553,0.997618905690896,0.921983402110068
1997-09-01,93726.1980316692,0.926502302111758,93726.1980316692,93616.6868449506,1.00116978276426,0.951665616158478
1997-10-01,94434.7909466138,0.956698461140258,94434.7909466138,94313.5140316867,1.00128589117023,0.977881129129681
1997-11-01,95970.6112389886,0.959466919838314,95970.6112389886,94936.9727951399,1.01088762800642,0.913863096918254
1997-12-01,95490.8059425903,1.09535132499687,95490.8059425903,95452.5283950612,1.00040101135269,1.14280112020007
1998-01-01,94772.8629301784,1.12576889536183,94772.8629301784,95961.0583476905,0.987617941715409,1.10421904292475
1998-02-01,96649.4316892301,1.00910152890824,96649.4316892301,96559.8147937898,1.00092809721758,1.0001714268825
1998-03-01,97273.6238746243,1.0653247915602,97273.6238746243,97196.3238561279,1.00079529775849,1.06929294763464
1998-04-01,98252.587502597,0.974528653755371,98252.587502597,97801.0215273449,1.0046171907839,0.980849486507954
1998-05-01,99018.4460112545,0.961609148535579,99018.4460112545,98333.3796822447,1.00696677294347,0.930149923677167
1998-06-01,98367.896978245,0.984248566878274,98367.896978245,98808.9877937901,0.995535924156357,1.01098023903056
1998-07-01,98701.4342582662,0.969175115292445,98701.4342582662,99326.9553767047,0.993702403178813,0.990634034193998
1998-08-01,99940.6978174677,0.95752332316742,99940.6978174677,99930.360076957,1.00010344944722,0.941858542672172
1998-09-01,100362.219810517,0.927068234669699,100362.219810517,100586.967071866,0.997765642330297,0.93657753064316
1998-10-01,100991.279048307,0.954218070904153,100991.279048307,101292.748753915,0.99702377801652,0.935952102901751
1998-11-01,101734.178656018,0.935377915576033,101734.178656018,102062.347822128,0.996784620645006,0.943950216816531
1998-12-01,103682.012554808,1.14611920321793,103682.012554808,102848.007265397,1.0081091049947,1.14733498192
1999-01-01,104038.605203905,1.11520884104956,104038.605203905,103563.16867316,1.00459078779489,1.07872457324897
1999-02-01,104423.380716136,0.997156695178666,104423.380716136,104197.02701646,1.00217236236155,0.988332299646112
1999-03-01,104764.115262173,1.08018653440816,104764.115262173,104799.823861472,0.999659268517985,1.12697940229378
1999-04-01,104708.370074337,0.979215476807553,104708.370074337,105440.065357127,0.993060557385739,0.985394003619275
1999-05-01,104873.597363399,0.933326498503874,104873.597363399,106218.528871872,0.987338070647774,0.918057570451972
1999-06-01,108090.289937845,1.00579663041328,108090.289937845,107120.390635649,1.00905429205812,1.01611347386668
1999-07-01,108709.712422627,0.971932955316491,108709.712422627,107982.440772943,1.00673509178416,0.953327882950308
1999-08-01,108393.764612869,0.943743997298439,108393.764612869,108766.547771311,0.996572630408157,0.947259285316946
1999-09-01,109265.707571499,0.937781803414785,109265.707571499,109569.645694919,0.99722607368589,0.943864294591375
1999-10-01,109792.122693486,0.945355566267059,109792.122693486,110445.966811897,0.994079963829507,0.914428080421445
1999-11-01,111483.154107621,0.925134009323285,111483.154107621,111386.522509774,1.00086753402179,0.950260161259273
1999-12-01,114408.638297111,1.18450365675155,114408.638297111,112251.388318766,1.01921802492294,1.21073025657625
2000-01-01,111887.837198616,1.09641890373392,111887.837198616,112966.781049952,0.990449016593126,1.07848183521321
2000-02-01,112626.601800503,0.994273763499025,112626.601800503,113716.408914489,0.990416448036041,1.01516869169616
2000-03-01,114727.291925394,1.08251630493462,114727.291925394,114585.984610073,1.00123319894489,1.10648475937662
2000-04-01,116079.749817908,0.980486720339276,116079.749817908,115447.609378583,1.00547556110281,0.933883818409778
2000-05-01,116269.88541072,0.94793680745895,116269.88541072,116223.900934634,1.00039565421325,0.989000716684268
2000-06-01,116639.470390037,0.987037942853966,116639.470390037,116950.557068111,0.997340015422983,0.993265826847377
2000-07-01,117358.386639388,0.965692187773824,117358.386639388,117676.208256664,0.997299185434474,0.949893767222132
2000-08-01,118517.016895012,0.946733046145589,118517.016895012,118390.152673892,1.00107157747713,0.947737320282888
2000-09-01,120109.769991113,0.940098210424102,120109.769991113,119005.283519216,1.00928098685398,0.930573757724039
2000-10-01,119465.226715932,0.94802599047467,119465.226715932,119458.795567023,1.00005383570861,0.951557228199189
2000-11-01,119241.557464983,0.935116731373519,119241.557464983,119821.424625049,0.995160571977167,0.941181936783721
2000-12-01,119660.085633734,1.14723366210841,119660.085633734,120182.788860749,0.995650764706242,1.10970169624019
2001-01-01,121704.843897858,1.12243944247422,121704.843897858,120484.933645502,1.01012500248326,1.17106267454412
2001-02-01,121540.062169061,1.00605583956037,121540.062169061,120585.387227571,1.00791700357265,0.997152690537709
2001-03-01,120092.909802791,1.07165853998799,120092.909802791,120489.115932884,0.996711685308464,1.05114448644216
2001-04-01,120626.502728803,0.975429726660569,120626.502728803,120295.227491416,1.00275385187173,0.984369084022584
2001-05-01,120576.992097994,0.966041994397383,120576.992097994,119998.629617007,1.00481974238234,0.96706675105341
2001-06-01,119507.993959384,0.976075362314618,119507.993959384,119588.277776587,0.999328664826558,0.966186412929354
2001-07-01,119059.060401713,0.963126008945165,119059.060401713,119122.788024092,0.99946502576513,0.966713491704525
2001-08-01,118600.444067094,0.960599127456131,118600.444067094,118642.748854775,0.99964342711131,0.981868161759353
2001-09-01,117047.168464646,0.919424465675575,117047.168464646,118206.160466593,0.990195164132122,0.87572387563532
2001-10-01,117855.100843448,0.959836733523505,117855.100843448,117865.964646437,0.9999078291768,1.00141613859186
2001-11-01,117681.740229258,0.936640749340736,117681.740229258,117570.488786199,1.00094625313042,0.942550643659013
2001-12-01,119047.32280632,1.16099312424703,119047.32280632,117191.07040526,1.01583953789859,1.14199964178264
2002-01-01,116165.830485063,1.0911946797932,116165.830485063,116684.655632869,0.995553612898017,1.09235219573725
2002-02-01,115526.689582016,1.00092285159211,115526.689582016,116196.490863382,0.994235615237697,0.99206512724174
2002-03-01,115599.580931005,1.09495168832296,115599.580931005,115833.353980756,0.997981815757583,1.05913013709863
2002-04-01,114405.367119385,0.955829770673518,114405.367119385,115615.645432794,0.989531881183745,0.981789603304091
2002-05-01,115323.7376596,0.972164502677776,115323.7376596,115568.760678947,0.997879850766699,0.993689610878307
2002-06-01,115290.173230918,0.975417735409099,115290.173230918,115652.557074841,0.996866616241886,0.92905576423642
2002-07-01,115853.602826276,0.960997730898746,115853.602826276,115808.65196,1.0003881477378,1.0026274294998
2002-08-01,116185.269165501,0.951894060838537,116185.269165501,115987.941919447,1.00170127379441,0.933672579830031
2002-09-01,116816.118359984,0.932200285647344,116816.118359984,116126.847159541,1.00593550257586,0.940743465395314
2002-10-01,116674.39329767,0.946710127551763,116674.39329767,116176.096037683,1.00428915480018,0.947714377377508
2002-11-01,117393.958020942,0.977715166590105,117393.958020942,116094.952237224,1.01118916678706,0.967809603793511
2002-12-01,114744.120003317,1.11024841140423,114744.120003317,115934.041397122,0.98973622087641,1.11438390042387
2003-01-01,114794.259006864,1.09994405524204,114794.259006864,115871.204070627,0.990705671245927,1.12429838492431
2003-02-01,115902.701167075,1.00948829030479,115902.701167075,115961.724896269,0.999491006802056,1.00055476561183
2003-03-01,116353.384778725,1.0939810510297,116353.384778725,116099.03048245,1.00219083910708,1.0760838650127
2003-04-01,116977.47542371,0.969568126297005,116977.47542371,116185.014958929,1.0068206770474,0.979513360029101
