"Index","deposit.amount"
2015-10-13,14560
2015-10-14,3674
2015-10-15,10414
2015-10-16,13794
2015-10-19,12294
2015-10-20,1660
2015-10-21,9429
2015-10-22,1990
2015-10-23,7590
2015-10-26,14104
2015-10-27,1780
2015-10-28,6767
2015-10-29,2721
2015-10-30,8575
2015-11-02,29016
2015-11-03,4086
2015-11-04,9558
2015-11-05,2263
2015-11-06,7416
2015-11-09,13751
2015-11-10,2827
2015-11-12,8894
2015-11-13,6832
2015-11-16,23372
2015-11-17,2814
2015-11-18,8256
2015-11-19,2111
2015-11-20,8024
2015-11-23,15148
2015-11-24,1952
2015-11-25,9279
2015-11-27,8549
2015-11-30,12812
2015-12-02,11054
2015-12-03,3448
2015-12-04,9948
2015-12-07,14816
2015-12-08,2451
2015-12-09,7603
2015-12-10,3201
2015-12-11,7227
2015-12-14,14743
2015-12-15,7258
2015-12-16,18533
2015-12-17,3728
2015-12-18,11776
2015-12-21,18466
2015-12-22,3587
2015-12-23,11092
2015-12-24,8087
2015-12-28,17465
2015-12-29,3515
2015-12-30,10931
2015-12-31,13032
2016-01-04,40248
2016-01-05,4682
2016-01-06,11957
2016-01-07,3779
2016-01-08,6650
2016-01-11,13644
2016-01-12,1847
2016-01-13,7032
2016-01-14,2447
2016-01-15,12486
2016-01-19,26291
2016-01-20,3743
2016-01-21,9811
2016-01-22,6000
2016-01-25,15104
2016-01-26,2368
2016-01-27,9978
2016-01-28,2994
2016-01-29,10056
2016-02-01,33335
2016-02-02,6213
2016-02-03,9454
2016-02-04,2446
2016-02-05,6727
2016-02-08,16248
2016-02-09,1768
2016-02-10,7351
2016-02-11,3374
2016-02-12,9449
2016-02-16,30170
2016-02-17,4707
2016-02-18,8984
2016-02-19,6352
2016-02-22,17118
2016-02-23,2163
2016-02-24,7484
2016-02-25,3069
2016-02-26,9579
2016-02-29,21353
2016-03-01,20626
2016-03-02,11922
2016-03-03,3869
2016-03-04,9894
2016-03-07,17934
2016-03-08,2780
2016-03-09,7681
2016-03-10,2856
2016-03-11,10072
2016-03-14,23121
2016-03-15,6969
2016-03-16,22964
2016-03-17,3009
2016-03-18,8605
2016-03-21,14475
2016-03-22,1940
2016-03-23,7361
2016-03-24,2616
2016-03-25,8571
2016-03-28,15009
2016-03-29,1773
2016-03-30,7511
2016-03-31,5116
2016-04-01,20563
2016-04-04,18501
2016-04-05,2337
2016-04-06,10328
2016-04-07,2311
2016-04-08,8608
2016-04-11,15358
2016-04-12,1940
2016-04-13,7322
2016-04-14,2797
2016-04-15,7854
2016-04-18,25511
2016-04-19,1857
2016-04-20,9446
2016-04-21,3339
2016-04-22,7285
2016-04-25,15486
2016-04-26,2704
2016-04-27,7618
2016-04-28,2725
2016-04-29,8462
2016-05-02,31755
2016-05-03,3099
2016-05-04,9728
2016-05-05,2143
2016-05-06,7726
2016-05-09,14458
2016-05-10,2004
2016-05-11,9260
2016-05-12,2782
2016-05-13,7020
