date,deposit.amount,business.day.of.month,weekday,prev.weekday,prev.date,next.date,is.wednesday.semiweekly,is.friday.semiweekly,is.month.start,is.month.end,is.year.start,is.year.end,is.monday,is.tuesday,is.wednesday,is.thursday,is.friday,is.fifteen,is.sixteen,is.second,is.eleventh,is.third,is.twelveth,is.xmas,is.post.thanksgiving,is.march.sixteen,is.april.sixteen,is.tax.season,third.monday.date,first.monday.date,first.wednesday.date,first.friday.date,first.semiweekly.date,is.third.monday,is.first.monday,is.first.wednesday,is.first.friday,is.first.semiweekly,day.average,day.count,month.length,month.deposit.amount,year.month,business.day.pct,forecast,lower.ci,upper.ci,value.y_intercept,value.is.monday,value.is.wednesday,value.is.thursday,value.is.friday,value.is.fifteen,value.is.sixteen,value.is.second,value.is.third,value.is.month.start,value.is.month.end,value.is.year.start,value.is.year.end,value.is.march.sixteen,value.is.april.sixteen,value.is.tax.season,value.is.post.thanksgiving,value.is.xmas,value.business.day.pct,value.is.first.wednesday,value.is.twelveth,value.is.wednesday.semiweekly,value.is.friday.semiweekly,fitted.value,predicted.mean,day,month,year,days.to.end,mtd.fitted,mtd.deposit,mtd.month.est,month.fitted,scale.factor
2020-02-10,19821,6,0,4,2020-02-07,2020-02-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,1.3903905739156974,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0,-0,1.6263122898004503,12187.696129648046,10,2,2020,13,7.605473983739176,87024,217403.41279651452,18.794585616271164,1.0109294446774608
2020-02-11,2981,7,1,0,2020-02-10,2020-02-12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0,-0,0.23592171588475286,12635.547299326234,11,2,2020,12,7.841395699623929,90005,218085.5380225252,18.794585616271164,1.0109294446774608
2020-02-12,8713,8,2,1,2020-02-11,2020-02-13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0.12682365553579766,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0.5224171502024458,-0,0.8851625216229964,9843.390097475223,12,2,2020,11,8.726558221246925,98718,214934.9093246515,18.794585616271164,1.0109294446774608
2020-02-13,2921,9,3,2,2020-02-12,2020-02-14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0,0.045558176529040775,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0,-0,0.2814798924137936,10377.295425798804,13,2,2020,10,9.008038113660719,101639,214379.75457401967,18.794585616271164,1.0109294446774608
2020-02-14,9149,10,4,3,2020-02-13,2020-02-18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0,0,0.6985930038930406,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0,-0.13598583751920648,0.798528882258587,11457.3188312521,14,2,2020,9,9.806566995919306,110788,214649.2244305186,18.794585616271164,1.0109294446774608
2020-02-18,34218,11,1,4,2020-02-14,2020-02-19,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,1,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,1.3903905739156974,0,0,0,0.33457122130290184,0.9121016840535261,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0,-0,2.872985195156878,11910.25977359119,18,2,2020,8,12.679552191076183,145006,217287.95768820905,18.794585616271164,1.0109294446774608
2020-02-19,5626,12,2,1,2020-02-18,2020-02-20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0.12682365553579766,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0.11148690587966407,0,-0,0.4742322773002146,11863.384820680265,19,2,2020,7,13.153784468376399,150632,217580.5759080728,18.794585616271164,1.0109294446774608
2020-02-20,11593,13,3,2,2020-02-19,2020-02-21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0,0.045558176529040775,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0.5224171502024458,-0,0.8038970426162395,14421.000931003811,20,2,2020,6,13.957681510992638,162225,220830.01375067167,18.794585616271164,1.0109294446774608
2020-02-21,9337,14,4,3,2020-02-20,2020-02-24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,0,0,0,0.6985930038930406,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0,-0.13598583751920648,0.798528882258587,11692.7517682152,21,2,2020,5,14.756210393251225,171562,220902.10922248836,18.794585616271164,1.0109294446774608
2020-02-24,23918,15,0,4,2020-02-21,2020-02-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-17,2020-02-03,2020-02-05,2020-02-07,2020-02-05,0,0,0,0,0,11732.368421052632,19,29,222915,Feb 2020,0.6551724137931034,225394.38640291,215850.7827752,235359.949909717,-0.3775440108824427,1.3903905739156974,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6134657267671956,0,0,0,-0,1.6263122898004503,14706.89248922466,24,2,2020,4,16.382522683051675,195480,226712.33679062105,18.794585616271164,1.0109294446774608
